ID,Common_name,Latitude,Longitude
3479,Grizzly bear / Brown bear,44.5,-110.28333
3480,Grizzly bear / Brown bear,44.57472,-110.51667
3481,Swift fox,49.18,-107.497222
3482,Swift fox,55.37833,-109.86333
3483,Swift fox,60,-98
3484,Red fox,43.77278,-91.80944
3485,Red fox,48.00889,-88.8675
3486,Red fox,48.10611,-95.22806
3487,Red fox,45.33611,-94.40472
3488,Red fox,46.00028,-99.00028
3489,Red fox,44.44694,-96.29611
3490,Red fox,47.73167,-93.62833
3491,Red fox,47.955,-94.78639
3492,Red fox,47.31667,-92.5475
3493,Red fox,47.71667,-96.55
3494,Red fox,46.11639,-93.14583
3495,Mountain gorilla / Eastern lowland gorilla,-1.03306,29.69972
3496,Chimpanzee,1.82139,31.58833
3497,Red-tailed monkey,0.56667,30.36667
3504,Grey wolf / Gray wolf,52,20
3505,Eurasian lynx,52,20
3589,Bridled nailtail wallaby,-23.38333,150.46667
4315,Harbour porpoise,44,-67
4316,Keen's long-eared bat,53.25,-132.33333
4317,Little brown bat,53.25,-132.33333
4318,North Atlantic right whale,53.5,-50
4319,Beluga whale,60,-82
4320,Narwhal,60,-88
4321,Reindeer / Caribou,75.5,-111.5
4322,Reindeer / Caribou,76.75,-119.5
4323,Reindeer / Caribou,71,-110
4324,Reindeer / Caribou,71,-110
4325,American bison / Wood bison / Plains bison,57.05,-122.86667
4328,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.18333,-109.16667
4329,Collared lemming / Northern collared lemming / Nearctic collared lemming,67.983333,-108.9
4330,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.08333,-108.5
4331,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.172222,-107.583333
4332,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.33333,-108.25
4333,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.11667,-106.83333
4334,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.91667,-108.58333
4335,Collared lemming / Northern collared lemming / Nearctic collared lemming,68.05,-110.21667
4336,American bison / Wood bison / Plains bison,61.5,-117
4337,Reindeer / Caribou,75.25,-95
4338,Reindeer / Caribou,75.66667,-100
4339,Reindeer / Caribou,76.5,-104
4349,American marten,55.7,-121.8
4350,American bison / Wood bison / Plains bison,58,-112
4351,American bison / Wood bison / Plains bison,58,-112
4352,American bison / Wood bison / Plains bison,59,-112
4353,American bison / Wood bison / Plains bison,59,-112
4354,American bison / Wood bison / Plains bison,58,-113
4355,American bison / Wood bison / Plains bison,60,-113
4356,American bison / Wood bison / Plains bison,60,-114
4357,Grizzly bear / Brown bear,52.36667,-126.75
4358,Grizzly bear / Brown bear,52.36667,-126.75
4359,Snowshoe hare,61,-138
4360,Snowshoe hare,61,-138
4361,Snowshoe hare,61,-138
4362,Snowshoe hare,60.25,-135.33333
4363,Canadian lynx,60.25,-135.33333
4364,Reindeer / Caribou,49.51667,-115.76667
4365,Reindeer / Caribou,49.51667,-115.76667
4366,Reindeer / Caribou,50.23333,-117.8
4367,Reindeer / Caribou,51,-120
4368,Reindeer / Caribou,51,-118.71667
4369,Reindeer / Caribou,51,-118.18333
